current,record,deck,high_card_cnt,pair_cnt,two_pair_cnt,three_of_a_kind_cnt,straight_cnt,flush_cnt,full_house_cnt,four_of_a_kind_cnt,straight_flush_cnt,five_of_a_kind_cnt,flush_house_cnt,flush_five_cnt
0,0,hearts-spades,10,7,2,5,3,4,0,1,0,0,1,0
0,0,short,0,0,0,0,0,0,0,0,0,0,0,0
